bedrooms,bathrooms,sqft,lot_size,age,location,property_type,garage,price
3,1,1550,6706,20,Suburbs,Single Family,Carport,805000
2,1,818,1518,20,Suburbs,Condo,Carport,510000
3,2,1550,2282,20,Suburbs,Single Family,Carport,612000
3,1,1550,6588,20,Suburbs,Single Family,Attached,662000
4,3,1900,5726,20,Suburbs,Single Family,Attached,978000
3,1,1550,6297,20,Suburbs,Single Family,Carport,720000
4,1,1900,5479,20,Suburbs,Single Family,Attached,765000
4,2,1572,6760,50,Suburbs,Single Family,Attached,900000
2,1,883,1292,120,Waterfront,Single Family,None,1275000
2,1,1200,1711,20,Waterfront,Single Family,None,1455000
3,2,2131,2271,120,Waterfront,Single Family,None,2000000
3,2,1432,1378,120,Waterfront,Single Family,None,1850000
2,1,872,1399,120,Waterfront,Single Family,None,1436000
1,1,850,1582,120,Waterfront,Single Family,None,1110000
2,1,1200,1798,20,Waterfront,Single Family,Carport,1550000
4,2,1938,1647,120,Waterfront,Single Family,Carport,2000000
3,2,1550,7728,20,Waterfront,Townhouse,Attached,1550000
3,2,1711,1421,29,Waterfront,Single Family,Carport,1800000
2,1,1152,2142,120,Waterfront,Single Family,Carport,2000000
3,1,1550,2723,20,Waterfront,Single Family,Carport,1800000
3,2,1313,1000,120,Waterfront,Single Family,Carport,1800000
2,1,1200,2583,20,Waterfront,Single Family,None,1810000
3,2,1948,1905,120,Waterfront,Single Family,Carport,2000000
5,2,2250,2551,20,Waterfront,Single Family,Carport,2000000
3,1,1550,1389,20,Waterfront,Single Family,None,1300000
3,2,915,1000,25,Waterfront,Single Family,Attached,1370000
2,1,1200,3100,20,Waterfront,Single Family,None,1000000
3,2,1550,2454,20,Waterfront,Single Family,Carport,2000000
2,1,1055,1604,120,Waterfront,Single Family,None,1322500
2,1,893,1518,120,Waterfront,Single Family,None,1562500
3,2,1582,2271,120,Waterfront,Single Family,Carport,2000000
3,1,1550,2250,120,Waterfront,Single Family,None,1900000
3,2,1572,1582,120,Waterfront,Single Family,None,2000000
4,3,2734,3520,115,Waterfront,Single Family,Carport,2000000
2,1,1200,1000,20,Waterfront,Condo,Carport,647000
2,1,1324,1292,120,Waterfront,Single Family,Carport,2000000
3,1,1410,2562,120,Waterfront,Single Family,Carport,2000000
1,1,500,1000,55,Waterfront,Condo,None,442500
4,2,2228,3552,115,Waterfront,Single Family,Carport,2000000
2,1,1200,1464,20,Waterfront,Single Family,None,1340000
3,1,1550,2174,20,Waterfront,Single Family,Carport,1801000
3,3,1550,1000,20,Waterfront,Single Family,Carport,1532000
3,2,1550,3498,20,Waterfront,Single Family,Attached,2000000
3,2,1561,1970,120,Waterfront,Single Family,Carport,2000000
2,1,1200,1744,20,Waterfront,Single Family,Carport,1750000
2,1,732,1000,120,Waterfront,Single Family,None,980000
3,2,1550,1636,20,Waterfront,Single Family,None,2000000
3,2,1442,1582,120,Waterfront,Single Family,Attached,1740000
3,3,1550,1000,20,Waterfront,Single Family,Carport,2000000
1,1,581,1000,120,Waterfront,Single Family,None,985000
3,2,2831,9182,95,Historic,Single Family,Attached,2000000
3,2,1550,2239,12,Suburbs,Single Family,Attached,1110000
3,2,1550,4424,20,Suburbs,Single Family,Attached,1492000
4,2,2185,6448,100,Historic,Single Family,Carport,1717500
5,4,1776,8708,115,Historic,Single Family,Attached,2000000
2,1,646,1000,65,Suburbs,Condo,Carport,525500
2,2,1507,1668,21,Suburbs,Townhouse,Attached,805000
2,1,1200,1000,20,Suburbs,Condo,Carport,465000
3,3,1550,7384,20,Suburbs,Single Family,Attached,2000000
3,1,1550,6372,20,Suburbs,Single Family,Attached,1540000
2,1,1200,1970,20,Suburbs,Condo,Carport,820000
4,2,1206,6523,55,Suburbs,Single Family,Attached,1830000
4,2,2917,6189,17,Suburbs,Single Family,Attached,2000000
3,1,1410,1938,15,Suburbs,Single Family,Carport,865000
2,1,646,1000,65,Suburbs,Condo,Carport,390000
1,1,850,1000,20,Suburbs,Townhouse,None,650000
2,1,657,1000,60,Suburbs,Condo,Carport,512000
3,1,1550,10538,20,Suburbs,Single Family,Attached,1165000
4,2,2928,5985,95,Historic,Single Family,Attached,1900000
3,1,1550,6426,20,Suburbs,Single Family,None,1485000
4,2,2260,6340,105,Historic,Single Family,Attached,1950000
3,2,2605,3789,10,New Development,Single Family,Carport,520000
5,3,2885,7847,20,Suburbs,Single Family,Attached,1525000
2,1,1345,3143,12,Suburbs,Townhouse,Attached,720000
3,1,1292,5447,95,Historic,Single Family,Attached,1120000
4,1,1900,7050,20,Suburbs,Single Family,Attached,780000
4,3,2368,11377,63,Suburbs,Single Family,Attached,1780000
2,1,1012,3348,70,Suburbs,Condo,Attached,630000
2,1,1200,1000,20,Suburbs,Condo,Carport,406000
3,1,1324,6480,70,Suburbs,Single Family,Carport,660000
3,1,1550,5705,20,Suburbs,Single Family,Carport,683500
2,1,1001,2422,37,Suburbs,Condo,Carport,580000
3,1,500,8364,72,Suburbs,Single Family,Attached,1335000
3,2,1550,3014,28,Suburbs,Townhouse,Attached,800000
2,1,818,1367,35,Suburbs,Condo,Carport,510000
4,2,1900,7481,20,Suburbs,Single Family,Attached,1070000
2,1,614,1238,45,Suburbs,Condo,Attached,425000
3,2,1550,2476,20,Suburbs,Condo,Attached,605000
3,2,1636,2120,20,Suburbs,Townhouse,Attached,705000
2,1,700,1000,60,Suburbs,Condo,Carport,391000
2,1,1200,1000,20,Suburbs,Condo,Carport,440000
4,1,1399,8019,75,Historic,Single Family,Attached,845000
3,2,1894,2271,20,Suburbs,Townhouse,Attached,743000
3,2,1518,1000,11,Suburbs,Condo,Carport,730000
3,1,1550,6727,65,Suburbs,Single Family,Attached,635000
2,1,1200,1808,20,Suburbs,Condo,Carport,620000
2,1,829,1475,35,Suburbs,Condo,Carport,447000
3,2,1550,1000,20,Suburbs,Condo,Carport,730000
3,1,936,6523,75,Historic,Single Family,Attached,678000
2,2,818,1884,12,Suburbs,Condo,Carport,580000
3,1,1550,3907,20,Suburbs,Single Family,Attached,712000
3,2,1464,5748,60,Suburbs,Single Family,Attached,840000
3,1,1550,7793,20,Suburbs,Single Family,Attached,980000
3,2,1550,2852,20,Suburbs,Townhouse,None,605100
3,3,1550,6211,20,Suburbs,Single Family,Carport,880000
3,2,1216,2207,18,Suburbs,Condo,Carport,577000
4,1,1900,8579,20,Suburbs,Single Family,None,1030000
3,1,1550,1948,20,Suburbs,Condo,Attached,605000
3,2,1550,5694,20,Suburbs,Single Family,Attached,753000
2,2,1076,7266,75,Historic,Single Family,Carport,857000
3,1,1550,10000,20,Suburbs,Single Family,Carport,1500000
3,2,500,1000,11,Suburbs,Condo,Carport,730000
3,1,1550,7502,20,Suburbs,Single Family,Attached,900000
3,1,1550,6501,20,Suburbs,Single Family,Attached,740000
4,2,1900,5726,55,Suburbs,Single Family,Attached,931000
2,1,980,1658,29,Suburbs,Single Family,Carport,535600
5,3,2702,6372,60,Suburbs,Single Family,Attached,1085000
3,1,1259,5737,55,Suburbs,Single Family,Attached,781000
3,1,1550,5963,20,Suburbs,Single Family,Attached,750000
2,1,829,1000,16,Suburbs,Townhouse,Carport,421000
3,1,1550,7050,20,Suburbs,Single Family,Attached,1405000
3,1,1798,5748,58,Suburbs,Single Family,Attached,683000
3,1,1550,5813,20,Suburbs,Single Family,Attached,623000
3,2,1399,1000,13,Suburbs,Single Family,Carport,720000
3,1,1270,3531,55,Suburbs,Single Family,Carport,588000
3,1,1249,5813,65,Suburbs,Single Family,Attached,710000
3,1,1819,6017,60,Suburbs,Single Family,Attached,875000
3,1,1550,5963,20,Suburbs,Single Family,Attached,700000
2,1,1200,2713,60,Suburbs,Townhouse,Carport,640000
4,1,1900,6006,20,Suburbs,Single Family,Attached,650000
3,2,1173,1841,13,Suburbs,Single Family,Attached,675000
3,1,1044,6297,65,Suburbs,Single Family,Attached,708000
4,1,1900,9160,20,Suburbs,Single Family,Attached,965000
3,1,1550,5931,20,Suburbs,Single Family,Attached,680000
3,1,6491,6480,20,Suburbs,Single Family,Attached,770000
3,1,1550,7965,20,Suburbs,Single Family,Attached,923000
4,2,1830,3391,17,Suburbs,Single Family,Attached,693000
5,2,1076,2971,15,Suburbs,Single Family,Attached,620000
3,1,1690,5716,65,Suburbs,Single Family,Carport,728500
3,2,1722,6351,75,Historic,Single Family,Carport,931000
3,1,1550,7696,17,Suburbs,Single Family,Attached,988000
3,1,1550,6039,20,Suburbs,Single Family,Attached,590000
2,1,1200,7438,20,Suburbs,Single Family,Attached,610000
3,2,1399,5974,65,Suburbs,Single Family,Attached,815000
4,1,1900,7621,20,Suburbs,Single Family,Attached,970000
4,1,1900,7190,20,Suburbs,Single Family,Attached,760000
4,3,1900,2713,20,Suburbs,Townhouse,Carport,847500
4,1,1701,6814,65,Suburbs,Single Family,Attached,1200000
3,1,1550,5995,20,Suburbs,Single Family,Carport,700000
3,1,1550,5769,20,Suburbs,Single Family,Carport,625000
2,1,753,1647,55,Suburbs,Condo,Carport,292000
2,1,818,1000,61,Waterfront,Condo,Carport,599000
2,1,1200,9268,20,Waterfront,Condo,None,550000
3,2,1076,1000,27,Waterfront,Condo,Attached,995000
3,2,1130,1087,25,Waterfront,Townhouse,Attached,1205000
3,2,1615,3186,120,Waterfront,Single Family,Attached,1939000
1,1,850,1000,20,Waterfront,Condo,None,421500
3,1,1249,2336,120,Waterfront,Single Family,Carport,1870000
2,1,1200,1000,20,Waterfront,Condo,Attached,678000
3,2,1776,1000,30,Waterfront,Townhouse,Attached,1918000
2,1,1200,1000,20,Waterfront,Condo,Carport,660000
3,2,1249,2207,115,Waterfront,Single Family,Carport,2000000
2,1,1200,1000,20,Waterfront,Condo,Attached,700000
3,2,1550,1000,19,Waterfront,Condo,Attached,2000000
4,2,1900,17018,91,Waterfront,Single Family,Attached,2000000
8,2,3300,7459,20,Waterfront,Single Family,Attached,1525000
3,2,500,22744,55,Waterfront,Condo,Carport,735000
2,1,1200,1000,20,Waterfront,Condo,Carport,825000
2,2,1200,2648,20,Waterfront,Townhouse,Attached,1586000
3,1,1550,1000,65,Waterfront,Condo,Carport,645000
2,2,1152,1550,120,Waterfront,Single Family,Carport,1435000
1,1,500,1000,50,Waterfront,Condo,Carport,280000
1,1,850,1000,20,Waterfront,Condo,Carport,400000
2,2,1200,1000,20,Waterfront,Single Family,Attached,1780000
2,1,786,1000,55,Waterfront,Condo,Carport,592500
2,1,1033,2680,115,Waterfront,Single Family,None,1210000
4,2,2390,6717,120,Waterfront,Single Family,Attached,2000000
1,1,850,9483,20,Waterfront,Condo,None,390000
3,2,1302,4359,115,Waterfront,Single Family,Attached,1800000
4,1,1755,5328,120,Waterfront,Single Family,Attached,2000000
1,1,850,1000,20,Waterfront,Condo,Carport,324000
5,3,5554,16049,90,Waterfront,Single Family,Attached,2000000
3,1,1550,1819,20,Waterfront,Single Family,Attached,1125000
3,3,1550,3240,20,Waterfront,Single Family,Carport,2000000
3,2,1550,3617,20,Waterfront,Single Family,None,2000000
2,2,1200,2228,20,Waterfront,Single Family,None,1900000
1,1,570,1000,55,Waterfront,Condo,Carport,440000
2,1,1200,1000,59,Waterfront,Condo,Carport,490000
3,2,1550,3401,20,Waterfront,Single Family,Carport,2000000
2,1,1141,2282,120,Waterfront,Single Family,Attached,1300000
3,2,1550,1000,20,Waterfront,Condo,Attached,732000
2,1,797,1000,56,Waterfront,Condo,Carport,704000
3,1,1055,1000,55,Waterfront,Condo,Carport,620000
3,1,1163,3531,120,Waterfront,Single Family,Attached,1900000
1,1,850,1000,20,Waterfront,Condo,Carport,315000
1,1,850,1000,20,Waterfront,Condo,Carport,450000
2,1,861,26598,55,Waterfront,Condo,Carport,710000
2,1,1200,12852,72,Waterfront,Condo,Carport,872000
2,1,947,1000,55,Waterfront,Condo,Carport,598000
3,1,861,2002,105,Waterfront,Single Family,Attached,1285000
4,3,1900,4532,20,Waterfront,Single Family,Attached,2000000
1,1,818,1000,55,Waterfront,Condo,Carport,520000
4,1,2702,7632,120,Waterfront,Single Family,Attached,2000000
4,3,3584,6060,25,Waterfront,Single Family,Attached,2000000
3,1,500,1109,25,Waterfront,Townhouse,Attached,1101000
3,2,3068,6641,27,Waterfront,Single Family,Attached,2000000
4,3,1900,5856,20,Waterfront,Single Family,Attached,2000000
2,1,980,1000,85,Waterfront,Condo,Carport,869000
5,2,2250,6641,20,Waterfront,Single Family,Attached,2000000
3,1,1550,1000,20,Waterfront,Condo,Carport,565000
1,1,570,1000,12,Waterfront,Condo,Carport,567000
2,1,1200,1000,20,Waterfront,Condo,None,546000
2,1,1200,1000,45,Waterfront,Condo,Carport,471500
3,1,1550,1000,20,Suburbs,Condo,Attached,455000
3,1,1163,3208,105,Historic,Single Family,Attached,940000
2,1,667,1000,45,Suburbs,Condo,Carport,467000
3,2,1873,2982,115,Historic,Single Family,Attached,1380000
2,1,667,4553,55,Suburbs,Condo,Carport,490000
4,3,2906,5145,120,Historic,Single Family,Carport,1850000
3,1,1550,6706,87,Historic,Single Family,Attached,1284000
3,2,1378,3068,120,Historic,Single Family,Attached,971000
2,1,829,2303,120,Historic,Single Family,Carport,710000
6,3,4682,10915,120,Historic,Single Family,Attached,2000000
2,1,990,2433,105,Historic,Single Family,Carport,750000
2,1,1173,2895,120,Historic,Single Family,Carport,1053000
3,1,1808,4489,120,Historic,Single Family,Carport,1377000
3,1,1345,3767,120,Historic,Single Family,Attached,970000
2,1,1200,3552,20,Suburbs,Single Family,Carport,940000
2,1,850,1270,120,Historic,Single Family,Carport,751000
2,1,1098,1862,120,Historic,Single Family,Carport,950000
2,1,969,2454,30,Suburbs,Condo,Attached,685000
4,1,1593,6394,65,Suburbs,Single Family,Attached,1230000
2,1,1200,1000,20,Suburbs,Single Family,Carport,636500
3,1,1550,3412,20,Suburbs,Single Family,None,910000
2,1,936,2433,120,Historic,Single Family,Carport,770000
3,2,1550,2465,14,Suburbs,Single Family,Attached,960000
4,1,1991,3229,120,Historic,Single Family,Carport,890000
2,1,1200,1830,20,Suburbs,Single Family,Carport,965000
3,1,1410,5242,120,Historic,Single Family,Carport,1440000
2,1,1200,2745,20,Suburbs,Single Family,None,955000
2,1,1200,1000,15,Suburbs,Condo,Carport,450000
3,1,1550,4639,75,Historic,Single Family,Attached,801000
3,2,1292,4736,70,Suburbs,Single Family,Attached,1000000
3,2,1582,5726,75,Historic,Single Family,Attached,1435000
1,1,624,1000,53,Suburbs,Condo,Carport,390000
3,2,1496,5328,105,Historic,Single Family,Attached,1425000
3,2,2497,7352,47,Suburbs,Single Family,Attached,1340000
3,1,1259,2831,115,Historic,Single Family,Carport,955000
4,2,2099,6017,105,Historic,Single Family,Attached,1100000
3,2,1550,3315,20,Suburbs,Single Family,Attached,1255000
2,1,667,1000,47,Suburbs,Condo,Carport,432000
4,3,2196,6049,120,Historic,Single Family,Attached,1640000
4,2,3078,4962,120,Historic,Single Family,Carport,1430000
2,1,1119,3240,30,Suburbs,Condo,Carport,610000
3,3,1367,5285,75,Historic,Single Family,Carport,940000
3,1,1184,2605,105,Historic,Single Family,Carport,890000
3,2,1604,6641,95,Historic,Single Family,Attached,1180000
4,2,1938,6426,86,Historic,Single Family,Attached,1480000
2,1,1200,4166,20,Suburbs,Single Family,Carport,1150000
3,1,1550,6189,20,Suburbs,Single Family,Attached,1350000
5,2,2250,5608,20,Suburbs,Single Family,Attached,1905000
2,2,1421,1572,10,New Development,Townhouse,Carport,865000
2,2,1200,1216,27,Suburbs,Townhouse,Carport,705000
2,1,667,1000,50,Suburbs,Condo,Carport,442000
2,2,1200,1000,20,Suburbs,Condo,Carport,540000
3,1,1184,5447,105,Historic,Single Family,Attached,1037500
3,2,1722,3423,12,Suburbs,Townhouse,Attached,1050000
2,1,700,1000,55,Suburbs,Condo,Carport,440000
2,1,1200,3498,20,Suburbs,Single Family,Carport,1010000
4,2,1701,4499,120,Historic,Single Family,None,1430000
2,1,1200,1000,20,Suburbs,Condo,Carport,570000
2,1,1200,1000,20,Suburbs,Condo,Carport,690000
3,1,1550,4456,20,Suburbs,Single Family,Attached,1291000
3,2,1690,2928,120,Historic,Single Family,Carport,1130000
3,1,1119,3186,115,Historic,Single Family,Carport,1135000
4,2,1582,3208,105,Historic,Single Family,Carport,950000
3,2,1593,1000,20,Suburbs,Condo,Carport,790000
2,1,743,21065,13,Suburbs,Condo,Carport,390000
4,1,1668,5942,105,Historic,Single Family,Carport,1345000
3,2,1808,4478,120,Historic,Single Family,Attached,1381500
3,2,1851,3068,14,Suburbs,Single Family,Attached,940000
3,2,1905,3380,15,Suburbs,Single Family,Carport,995000
3,1,1550,5769,20,Suburbs,Single Family,Attached,1050000
3,2,1292,6200,85,Historic,Single Family,Carport,786000
2,1,1163,2713,115,Historic,Single Family,Attached,705000
2,1,829,1335,120,Historic,Single Family,Carport,760000
3,1,1550,1000,53,Suburbs,Condo,Attached,487500
3,2,1550,2153,22,Suburbs,Townhouse,Attached,1000000
4,2,1900,3757,105,Historic,Single Family,Carport,1110000
4,1,1900,7147,20,Suburbs,Single Family,Attached,1300000
3,1,1550,5974,20,Suburbs,Single Family,Carport,1060000
3,2,1550,4941,20,Suburbs,Single Family,Attached,1410000
2,1,1787,2992,120,Historic,Single Family,Carport,1305000
3,2,1550,2734,20,Suburbs,Single Family,Carport,932500
3,1,1550,2325,20,Suburbs,Single Family,None,965000
3,1,1884,4865,65,Suburbs,Single Family,Carport,1215000
2,1,764,2088,120,Historic,Condo,Attached,545000
4,2,2939,6437,13,Suburbs,Single Family,Attached,1705000
2,1,1200,2088,20,Suburbs,Single Family,Carport,970000
2,1,1200,4381,20,Suburbs,Single Family,Carport,925000
4,3,4295,8105,10,Waterfront,Single Family,Attached,2000000
3,2,2368,6448,95,Waterfront,Single Family,Attached,1670000
3,2,1550,2185,20,Waterfront,Townhouse,Attached,955000
3,3,3391,3337,11,Waterfront,Townhouse,Attached,2000000
2,1,1200,7642,15,Waterfront,Condo,Carport,500000
2,1,1200,7309,20,Waterfront,Single Family,Attached,1575000
3,2,1604,7868,90,Waterfront,Single Family,Attached,1555000
3,3,1916,2971,21,Waterfront,Single Family,Attached,1100000
3,1,1206,6275,75,Waterfront,Single Family,Attached,1337000
9,5,6652,15844,16,Waterfront,Single Family,Attached,2000000
4,2,1900,7330,85,Waterfront,Single Family,Carport,2000000
3,2,1561,5554,105,Waterfront,Single Family,Attached,1518000
3,1,1087,8676,75,Waterfront,Single Family,Attached,1710000
3,1,1636,8396,85,Waterfront,Single Family,Attached,1655000
4,2,1938,8396,87,Waterfront,Single Family,Attached,1550000
3,2,2454,3778,19,Waterfront,Single Family,Attached,1662000
3,2,1561,7556,80,Waterfront,Single Family,Attached,1665000
2,1,1200,7578,20,Waterfront,Single Family,Attached,1445000
5,5,4779,8127,10,Waterfront,Single Family,Attached,2000000
3,1,1550,2443,20,Waterfront,Townhouse,Carport,968000
3,2,1184,1647,35,Waterfront,Townhouse,Attached,900000
3,1,1550,5866,20,Waterfront,Single Family,Attached,1500000
6,4,4198,11571,15,Waterfront,Single Family,Attached,2000000
3,2,1496,7642,80,Waterfront,Single Family,Attached,1500000
4,2,2217,8062,75,Waterfront,Single Family,Attached,1800000
3,2,1808,7793,85,Waterfront,Single Family,Attached,1830000
3,1,1195,6512,75,Waterfront,Single Family,Carport,1415000
2,1,1119,7395,85,Waterfront,Single Family,Carport,1440000
4,2,2142,3455,18,Waterfront,Townhouse,Attached,1250000
3,1,1550,6275,20,Waterfront,Single Family,Attached,1422000
5,3,2863,7535,75,Waterfront,Single Family,Attached,1600000
4,2,2949,7492,25,Waterfront,Single Family,Attached,1860000
3,2,1550,3175,35,Waterfront,Townhouse,Attached,1710000
4,2,2583,5533,90,Waterfront,Single Family,Attached,1790000
4,2,2992,9085,85,Waterfront,Single Family,Attached,1950000
3,1,1550,6857,20,Waterfront,Single Family,Attached,1600000
3,1,1550,11442,20,Waterfront,Single Family,Attached,1320000
3,1,1765,7502,78,Waterfront,Single Family,Carport,1650000
2,1,1200,6275,75,Waterfront,Single Family,Carport,995000
3,1,1550,9063,20,Waterfront,Single Family,Carport,1250000
3,2,1550,5027,20,Waterfront,Condo,Attached,1045000
4,3,2164,4004,9,Waterfront,Single Family,Attached,1200000
2,1,1227,7481,75,Waterfront,Single Family,Attached,1075000
2,2,2185,6684,25,Waterfront,Single Family,Attached,1500000
3,1,1550,7782,20,Waterfront,Single Family,Attached,1120000
2,1,1184,3950,55,Waterfront,Townhouse,Attached,700000
3,2,1012,4306,75,Waterfront,Single Family,Attached,761000
4,2,1900,7793,20,Waterfront,Single Family,Carport,1270000
4,2,1900,5662,20,Waterfront,Single Family,Attached,1510000
3,1,8525,8525,75,Waterfront,Single Family,Carport,1365000
3,2,1636,8643,55,Waterfront,Single Family,Attached,1100000
4,3,1900,7793,20,Waterfront,Single Family,Attached,1415000
2,1,969,2325,22,Waterfront,Condo,Carport,690000
3,2,2314,8417,75,Waterfront,Single Family,Attached,1631000
4,2,2745,6383,95,Waterfront,Single Family,Carport,1500000
2,1,1200,8310,20,Waterfront,Single Family,Attached,1060000
5,3,3412,6297,25,Waterfront,Single Family,Attached,1529500
2,1,861,1647,55,Waterfront,Condo,Carport,600000
2,1,1200,1000,20,Waterfront,Condo,Carport,535000
3,1,1550,5995,65,Waterfront,Single Family,Carport,785000
4,2,2067,8245,75,Waterfront,Single Family,Attached,1240000
2,1,947,2067,18,Waterfront,Condo,Attached,700000
4,2,1900,7825,20,Waterfront,Single Family,Carport,1350000
2,1,926,6308,75,Waterfront,Single Family,Carport,1110000
3,1,1292,8181,65,Waterfront,Single Family,Carport,1305000
3,2,915,3444,67,Waterfront,Single Family,Carport,855000
3,2,1442,2756,13,Waterfront,Townhouse,Attached,900500
3,2,2131,9031,55,Waterfront,Single Family,Attached,1200000
2,1,1399,2282,13,Waterfront,Townhouse,Attached,830000
3,1,1270,6383,55,Suburbs,Single Family,Carport,850000
3,1,1109,1000,45,Suburbs,Single Family,Carport,750000
3,3,1948,5995,8,New Development,Townhouse,Carport,851000
3,1,1550,5834,20,Suburbs,Single Family,Attached,848000
4,2,1900,3767,17,Suburbs,Single Family,Carport,806000
3,2,2422,6125,17,Suburbs,Single Family,Attached,1155000
3,2,1550,7223,20,Suburbs,Single Family,Attached,670000
4,5,1900,7244,20,Suburbs,Single Family,Attached,1200000
2,1,1200,6146,20,Suburbs,Single Family,Attached,636000
3,1,1292,6135,55,Suburbs,Single Family,Attached,680000
4,3,1900,8493,20,Suburbs,Single Family,Attached,1160000
3,1,1550,5694,20,Suburbs,Single Family,Carport,750000
3,1,1539,5920,55,Suburbs,Single Family,Carport,627500
3,2,1550,3649,20,Suburbs,Townhouse,Attached,880000
4,3,3025,8191,55,Suburbs,Single Family,Attached,950000
4,3,1900,19386,20,Suburbs,Single Family,Attached,1600000
2,1,1200,1464,13,Suburbs,Townhouse,Carport,585000
3,1,1550,6178,20,Suburbs,Single Family,Attached,650000
3,1,1550,6523,20,Suburbs,Single Family,Attached,725000
3,2,1550,3111,20,Suburbs,Condo,Carport,665000
3,1,1550,1905,20,Suburbs,Single Family,Carport,560500
3,1,1550,6986,20,Suburbs,Single Family,Attached,615000
3,1,1550,7578,20,Suburbs,Single Family,Attached,845000
3,1,1550,3466,20,Suburbs,Single Family,Attached,585000
2,1,1200,2831,26,Suburbs,Condo,Carport,440000
3,1,1604,8245,20,Suburbs,Single Family,Attached,850000
5,2,2250,6178,20,Suburbs,Single Family,Attached,850000
3,1,1141,6254,65,Suburbs,Single Family,Carport,705000
4,3,4252,9397,33,Suburbs,Single Family,Attached,1100000
3,1,1270,6308,60,Suburbs,Single Family,Carport,892500
